"target","source","weight","mor"
"2900011O08Rik","Androgen",2.08985897544,-1
"4921501E09Rik","Androgen",0.93482246779,1
"9130409I23Rik","Androgen",2.547049294205,1
"AA986860","Androgen",11.3868523945,1
"Abca1","Androgen",2.17659776811,-1
"Abca12","Androgen",3.34489595237,-1
"Abcc1","Androgen",3.44972478714,1
"Abcc4","Androgen",9.37428478112,1
"Abcg1","Androgen",2.79240214286,-1
"Abcg3","Androgen",4.0165473862,-1
"Abhd2","Androgen",5.229518364,1
"Abi3bp","Androgen",2.82200625333,1
"Acaca","Androgen",2.29560033323,1
"Acad8","Androgen",3.0277185672,1
"Acadl","Androgen",0.875078928933,1
"Acpp","Androgen",3.01472809845,-1
"Acsl3","Androgen",8.25821358567,1
"Acsm1","Androgen",1.1669406865,1
"Adam22","Androgen",1.02603873533,-1
"Adam7","Androgen",3.11174530687,1
"Adgrb2","Androgen",1.36787265021,-1
"Adgrv1","Androgen",1.04444493964,-1
"Adpgk","Androgen",1.32114077473,1
"Adprm","Androgen",4.13348871896,1
"Adra2a","Androgen",2.14815091726,1
"Aff3","Androgen",2.48009244085,1
"Afg3l2","Androgen",1.29493902484,-1
"Akap5","Androgen",2.36868028532,1
"Aldh1a3","Androgen",4.43114339872,1
"Amigo2","Androgen",8.63080529272,-1
"Angpt2","Androgen",2.11156114607,1
"Ank","Androgen",2.8727763393,1
"Anp32e","Androgen",2.97005547531,-1
"Apof","Androgen",1.30792748615,-1
"Appbp2","Androgen",2.98388803447,1
"Arhgap1","Androgen",1.11078879561,1
"Arhgap6","Androgen",1.78568950794,1
"Arhgef26","Androgen",5.31107976025,1
"Arxes1","Androgen",0.791418075513333,1
"Arxes2","Androgen",0.791418075513333,1
"Atmin","Androgen",2.74457562546,1
"Atp11b","Androgen",1.82642076165,1
"Atp1a1","Androgen",2.77926385092,1
"Atp2b1","Androgen",3.85982677056,-1
"Atp6v1h","Androgen",1.08603409244,-1
"Atp8a1","Androgen",1.671390289,-1
"Atxn2","Androgen",1.70148300199,1
"Azgp1","Androgen",5.81835009695,1
"Bambi","Androgen",5.31086204799,-1
"Bard1","Androgen",4.80969112827,-1
"Baz1b","Androgen",0.97929072399,-1
"Bbs4","Androgen",1.89324943451,1
"Bbx","Androgen",2.96983477776,1
"Bcap29","Androgen",2.12459040854,1
"Bche","Androgen",3.7747380705,-1
"Bmpr1a","Androgen",2.36619063166,1
"Bmpr1b","Androgen",4.63408450531,1
"C130074G19Rik","Androgen",1.53731981919,-1
"Cab39l","Androgen",1.82075154211,1
"Calu","Androgen",2.26890236835,1
"Camk1d","Androgen",1.85267427864,-1
"Camkk2","Androgen",3.73954403123,1
"Cand1","Androgen",1.18626061903,-1
"Cap2","Androgen",2.12070642668,1
"Cartpt","Androgen",1.18448677234,1
"Cbll1","Androgen",5.32543758834,1
"Ccdc93","Androgen",1.70367008115,-1
"Ccnk","Androgen",1.37338320053,1
"Cd2ap","Androgen",1.61934708626,1
"Cdc42bpa","Androgen",1.09837671553,1
"Cdc42ep3","Androgen",4.79784377384,1
"Cdk8","Androgen",4.29086828336,-1
"Cebpd","Androgen",3.50059937172,1
"Cenpn","Androgen",8.49101673326,1
"Chka","Androgen",3.74431578374,1
"Chpt1","Androgen",2.70747417305,1
"Chrna2","Androgen",3.3317016194,1
"Cldn8","Androgen",7.82616312833,1
"Clgn","Androgen",3.62954455627,1
"Cmc2","Androgen",3.9173087043,1
"Cnga1","Androgen",1.62093538099,-1
"Cngb3","Androgen",1.07824343485,1
"Cnksr2","Androgen",1.81552916332,1
"Cntnap2","Androgen",1.26361818559,1
"Cobl","Androgen",2.28704554045,-1
"Col5a2","Androgen",3.26048054969,-1
"Colec12","Androgen",3.87535587493,-1
"Copb1","Androgen",1.37259053398,1
"Coq6","Androgen",1.29203960713,-1
"Coq7","Androgen",1.35242134205,-1
"Cpeb3","Androgen",2.40572209123,1
"Creb3l2","Androgen",2.1923341289,1
"Crebzf","Androgen",1.84097927528,-1
"Crisp1","Androgen",1.099740640785,1
"Crisp3","Androgen",1.099740640785,1
"Crot","Androgen",4.35830672292,1
"Crym","Androgen",1.51677492486,1
"Csgalnact1","Androgen",6.84603443294,1
"Csnk1g3","Androgen",1.46793301305,1
"Ctbp1","Androgen",2.89217188229,-1
"Ctc1","Androgen",0.997145712573,-1
"Ctnna2","Androgen",3.86912654352,1
"Cyp11a1","Androgen",1.36259409182,1
"Cyth1","Androgen",2.05235658595,1
"D1Ertd622e","Androgen",3.24537763906,-1
"Dbi","Androgen",5.25429582369,1
"Dcaf6","Androgen",2.66396654933,1
"Dctn1","Androgen",1.27396024399,-1
"Ddx42","Androgen",1.7999277269,-1
"Degs1","Androgen",2.547049294205,1
"Dennd1b","Androgen",3.51973011425,-1
"Deptor","Androgen",2.70606496499,-1
"Derl1","Androgen",1.29350036111,1
"Dgkh","Androgen",1.98986609522,-1
"Dhcr24","Androgen",6.84300840294,1
"Dio1","Androgen",3.05812302105,-1
"Dlg2","Androgen",1.22239699487,1
"Dmrt1","Androgen",1.21509818562,-1
"Dnajb9","Androgen",4.90128301361,1
"Dnajc10","Androgen",1.96290478864,1
"Dnase2b","Androgen",3.01132858824,1
"Dnm1l","Androgen",4.18867959332,1
"Dpp4","Androgen",2.01413723404,1
"Dsc1","Androgen",1.81917593502,1
"Dym","Androgen",1.39763637975,1
"Eaf2","Androgen",6.94490738852,1
"Eci2","Androgen",2.13405111148,1
"Eci3","Androgen",2.13405111148,1
"Edem3","Androgen",3.21369067855,1
"Efcab11","Androgen",1.68724970775,-1
"Efhc2","Androgen",1.70612091232,-1
"Ehf","Androgen",3.17740626045,1
"Ehmt2","Androgen",1.02186388128,-1
"Elk4","Androgen",2.73317183336,1
"Ell2","Androgen",6.5675774538,1
"Elovl2","Androgen",3.25766334433,1
"Enc1","Androgen",4.18510928668,-1
"Endod1","Androgen",6.51615227021,1
"Epb41l4b","Androgen",1.34656840482,1
"Eps8","Androgen",2.60578143071,-1
"Ergic2","Androgen",1.84324988036,1
"Ern1","Androgen",2.62980505762,1
"Erp44","Androgen",1.28062539593,1
"Evc","Androgen",0.919400897505,-1
"Extl2","Androgen",2.63858591092,1
"Extl3","Androgen",1.12969869198,-1
"F5","Androgen",6.087825897,1
"Fads2","Androgen",2.06872181242,1
"Fam107a","Androgen",0.965037839864,1
"Fam110b","Androgen",2.69257628281,1
"Fam206a","Androgen",1.55815600382,1
"Fasn","Androgen",1.87435617765,1
"Fbxw2","Androgen",1.16803375055,1
"Fdft1","Androgen",2.52991946893,1
"Fech","Androgen",2.56997936462,1
"Ffar2","Androgen",2.37564689974,-1
"Ficd","Androgen",3.21752457891,1
"Fkbp11","Androgen",2.00970146561,1
"Flot2","Androgen",1.53015357928,-1
"Frk","Androgen",4.70024893522,1
"Fryl","Androgen",1.94557704994,1
"Fut8","Androgen",4.40595359044,-1
"Fzd3","Androgen",2.98379494341,-1
"Fzd5","Androgen",4.68661955181,1
"Galnt10","Androgen",2.97199575307,-1
"Garnl3","Androgen",0.888274764513,-1
"Gbf1","Androgen",1.53913611544,1
"Gcfc2","Androgen",3.10998663403,1
"Gcg","Androgen",2.17133592689,-1
"Gcnt1","Androgen",3.04125174256,1
"Ghr","Androgen",4.77678266193,1
"Gle1","Androgen",1.05504455942,-1
"Gmppa","Androgen",1.81423577606,1
"Gnai1","Androgen",3.33506333071,1
"Gnmt","Androgen",5.67263863695,1
"Golga5","Androgen",2.0963539887,1
"Gorasp2","Androgen",1.92648208185,1
"Gper1","Androgen",2.0719187497,-1
"Gpr63","Androgen",3.22759309882,-1
"Grb10","Androgen",4.89075851789,-1
"Greb1","Androgen",5.56495649091,1
"Grhl2","Androgen",4.29572486397,1
"Grik1","Androgen",1.64651345517,-1
"Hdac1","Androgen",1.81626173602,-1
"Hebp2","Androgen",2.81694520151,1
"Herc1","Androgen",1.27596977763,-1
"Herpud1","Androgen",3.35136776356,1
"Hfe","Androgen",1.04039616653,-1
"Hipk2","Androgen",2.87229300848,1
"Hist1h4k","Androgen",1.90367878596,-1
"Hmgcr","Androgen",3.84362241775,1
"Hnrnph1","Androgen",1.56529679109,-1
"Hnrnpm","Androgen",1.26711788496,-1
"Hoxb13","Androgen",2.19614292827,-1
"Hoxc13","Androgen",3.63425580489,-1
"Hpgd","Androgen",7.53897406539,1
"Hsd17b11","Androgen",3.38981276512,1
"Hspa1l","Androgen",1.2612516092,-1
"Htatsf1","Androgen",1.79349420624,-1
"Hus1","Androgen",1.29157024604,1
"Ift57","Androgen",1.94700381559,1
"Igf1","Androgen",2.68011765402,1
"Igf1r","Androgen",5.01152202997,1
"Il1r1","Androgen",3.39643427486,1
"Il20ra","Androgen",1.25559386223,1
"Inpp4b","Androgen",4.80451897788,1
"Insig2","Androgen",5.00399307724,-1
"Insl5","Androgen",1.38488146249,-1
"Ints8","Androgen",2.77270714922,-1
"Iqgap2","Androgen",5.12448342846,1
"Irs2","Androgen",6.85366315869,1
"Itgav","Androgen",2.94299097459,1
"Kalrn","Androgen",1.18918847198,-1
"Kcnd2","Androgen",2.76909126593,1
"Kcnj3","Androgen",1.18024335711,-1
"Kcnma1","Androgen",3.54241990608,1
"Kcnn2","Androgen",9.4731988889,1
"Kcns3","Androgen",2.80847494041,-1
"Kctd3","Androgen",2.75470943233,1
"Kdelr2","Androgen",2.30663488162,1
"Kdm5a","Androgen",1.51454600267,-1
"Kif5b","Androgen",2.02800457177,-1
"Klf15","Androgen",2.83253408437,1
"Klf5","Androgen",5.16023531883,1
"Klhl29","Androgen",1.01163069907,1
"Klhl36","Androgen",1.35341328677,1
"Klk15","Androgen",1.28276459453,1
"Kmt5a","Androgen",1.80941173448,1
"Lamc1","Androgen",2.47045097424,1
"Lasp1","Androgen",2.18529807928,-1
"Lat2","Androgen",1.31397922648,1
"Lcp1","Androgen",3.69256277711,1
"Lgals8","Androgen",1.91440180951,-1
"Lifr","Androgen",8.6125146918,1
"Limch1","Androgen",2.60616794397,1
"Lin7b","Androgen",2.01617513997,1
"Lonrf1","Androgen",2.31269620134,1
"Lpar3","Androgen",5.84827847574,1
"Lpcat4","Androgen",1.8180060553,-1
"Lrch1","Androgen",1.95417863244,1
"Lrig1","Androgen",6.62607205612,1
"Lrrc31","Androgen",5.18102258915,-1
"Lrrc6","Androgen",1.34379469162,-1
"Lrrfip2","Androgen",4.14418717192,1
"Ltn1","Androgen",2.45145984002,-1
"Luzp2","Androgen",1.72833458159,-1
"Lyve1","Androgen",5.51200140972,1
"M6pr","Androgen",1.94361893877,-1
"Maf","Androgen",5.86387138398,1
"Magi1","Androgen",0.84517476793,-1
"Mak","Androgen",5.31367285271,1
"Malt1","Androgen",6.66978209415,1
"Man1a","Androgen",6.21456367095,-1
"Manba","Androgen",3.14232844368,-1
"Manea","Androgen",4.00414637037,-1
"Maoa","Androgen",3.4302033137,1
"Map3k6","Androgen",1.08052044205,1
"Map7d1","Androgen",2.53725242721,1
"Map9","Androgen",3.21986327804,1
"Mapk6","Androgen",3.24653513246,1
"Mapre2","Androgen",1.92481153106,-1
"March5","Androgen",1.58873271431,1
"Mboat2","Androgen",10.4727329721,1
"Mccc2","Androgen",2.80800480204,1
"Mcph1","Androgen",1.02159524333,1
"Mctp1","Androgen",2.83604569655,-1
"Meaf6","Androgen",1.52925940301,1
"Mecom","Androgen",1.07760781435,-1
"Mical2","Androgen",2.40406590059,1
"Micu1","Androgen",2.34111100285,-1
"Mid1","Androgen",3.30355895531,-1
"Mogat2","Androgen",0.871803222852,1
"Mpc2","Androgen",5.88831328709,1
"Mphosph9","Androgen",5.10619862739,1
"Mpzl1","Androgen",2.503403837,1
"Mrps18a","Androgen",3.92493588807,1
"Mtmr2","Androgen",2.13646736344,1
"Mtmr9","Androgen",6.13064559946,1
"Mtor","Androgen",1.5902665705,1
"Myb","Androgen",2.32218183725,-1
"Mybpc1","Androgen",4.60857869284,1
"Mycbp2","Androgen",2.53763323677,1
"Myh10","Androgen",2.59813156103,-1
"Mylk","Androgen",3.09341914654,-1
"Mynn","Androgen",2.91880437202,-1
"Myrip","Androgen",3.01545080602,-1
"Myt1","Androgen",0.852577333297,-1
"Nab1","Androgen",1.77573067281,-1
"Nans","Androgen",1.74826042938,1
"Nat1","Androgen",1.45588711656333,1
"Nat2","Androgen",1.45588711656333,1
"Nat3","Androgen",1.45588711656333,1
"Ncapd3","Androgen",8.44090141153,1
